CRFSECTION,VARNUM,NAME,TYPE,FORMAT,LABEL
,,,,,
,,VAS_IVIO,1,YNM10FMT,
0,0,ABCDEFGHIJLKMNOPQRSTUVWXYZABCDEFG,,ABCDEFGHIJLKMNOPQRSTUVWXYZABCDEFG,NONSENSE VARIABLE FOR LENGTH
0,1,ADM_ID_FAN,1,,Admission ID for Analysis
0,2,PAT_ID,1,,
0,3,SITE_ID_FAN,1,,Site ID for analysis (site IDs believed to refer to same facility combined)
0,4,SITE_ID,1,,Site/Facility/Hospital ID
0,5,EVENT_ID,1,,CPA Numeric EVENT_ID V10
0,6,EVTSEQN,1,,Order of event in Admission
0,7,FORMVER,1,FORM,Data entry form version: DI or PMT
1,8,INCL_CRI,1,YN12FMT,1:Yes Did pt receive chest compress OR defib during evt? V10
1,9,NEO_EVENT,1,YN12FMT,Neonatal delivery event? V10
1,10,EVT_DT,1,MMDDYY10,CPA Event Date V10
1,11,EVT_DTM,1,DATETIME20,CPA Event DateTime V10
1,12,EVT_YR,1,,Event Year
2.1,13,ICU_PRI,1,YN12FMT,Prior ICUDischarge V10
2.1,14,ICU_DT,1,MMDDYY10,Prior24h ICUDischargeDate V10
2.1,15,PAC_PRI,1,YN12FMT,Prior24h PACUDischarge V10
2.1,16,ED_PRI,1,YN12FMT,Prior24h EDDischarge V10
2.1,17,SED_PRI,1,YN12FMT,Prior24h Sedation V10
2.2,,ACTIVEINFEC,1,TIME8,
2.2,,ACTIVEINFECOPT,1,TIME8,
2.2,18,OOH_ARREST,1,YN12FMT,Did patient have an out-of-hospital arrest leading to this admit? 1:Yes 2:No/ND V10
2.2,19,PREC_X,1,YNM10FMT,PREC_None V10
2.2,20,PREC_O,1,YNM10FMT,PREC_AcuteCNSNonStrokeEvent V10
2.2,21,PREC_N,1,YNM10FMT,PREC_AcuteStroke V10
2.2,22,PREC_M,1,YNM10FMT,PREC_BaselineDepressionInCNS Function V10
2.2,23,PREC_2,1,YNM10FMT,PREC_CardiacMalformAcyanotic V10
2.2,24,PREC_3,1,YNM10FMT,PREC_CardiacMalformCyanotic V10
2.2,25,PREC_4,1,YNM10FMT,PREC_CongenitalMalformNonCardiac V10
2.2,26,PREC_A,1,YNM10FMT,PREC_CHFThisAdmission V10
2.2,27,PREC_B,1,YNM10FMT,PREC_CHFPriorAdmission V10
2.2,28,PREC_K,1,YNM10FMT,PREC_DiabetesMellitus V10
2.2,29,PREC_I,1,YNM10FMT,PREC_HepaticInsufficiency V10
2.2,30,PREC_F,1,YNM10FMT,PREC_HypotensionHypoperfusion V10
2.2,31,PREC_S,1,YNM10FMT,PREC_MajorTrauma V10
2.2,32,PREC_T,1,YNM10FMT,PREC_Metastatic/HematologicMalignancy V10
2.2,33,PREC_J,1,YNM10FMT,PREC_MetabolicElectrolyteAbn V10
2.2,34,PREC_C,1,YNM10FMT,PREC_MI_ThisAdmission V10
2.2,35,PREC_D,1,YNM10FMT,PREC_MI_Prior2ThisAdmission V10
2.2,36,PREC_P,1,YNM10FMT,PREC_Pneumonia V10
2.2,37,PREC_H,1,YNM10FMT,PREC_RenalInsufficiency V10
2.2,38,PREC_G,1,YNM10FMT,PREC_RespiratoryInsufficiency V10
2.2,39,PREC_Q,1,YNM10FMT,PREC_Septicemia (historic) V10
2.2,40,PREC_5,1,YNM10FMT,PREC_RecentlyDeliveredOrPregnant V10
2.2,41,PREC_6,1,YNM10FMT,PREC_Sepsis V10
2.2,42,PREC_NMISS,1,,
2.2,44,NOACTIVEINFEC,1,YNM10FMT,None-Active or Suspected bacterial or viral infection V12
2.2,45,ACTIVEINFEC_3,1,YNM10FMT,Bacterial infection
2.2,46,ACTIVEINFEC_2,1,YNM10FMT,Emerging Infectious Disease
2.2,47,ACTIVEINFECOPT_1,1,YNM10FMT,SARS-COV-1
2.2,48,ACTIVEINFECOPT_2,1,YNM10FMT,SARS-COV-2 (COVID-19)
2.2,49,ACTIVEINFECOPT_3,1,YNM10FMT,MERS
2.2,50,ACTIVEINFECOPT_5,1,YNM10FMT,Other Emerging Infectious Disease
2.2,51,ACTIVEINFEC_6,1,YNM10FMT,Influenza
2.2,52,ACTIVEINFEC_5,1,YNM10FMT,Seasonal Cold
2.2,53,ACTIVEINFEC_7,1,YNM10FMT,Other Viral Infection
2.2,224.5,PPE_PERSONAL,1,YN12FMT,Additional Personal Protective Equipment (PPE) Donned By The Responders
2.2,224.5,PREC_7,1,YNM10FMT,History of vaping or e-cigarette use in the past 12 months
2.3,43,IPA_NONE,1,YNM10FMT,InterventionInPlace_A_None V10
2.3,44,IPA_VENT,1,YNM10FMT,"IIP_A_AssistedOrMechanicalVent (historic variable, populated with new elements) V10"
2.3,45,IPA_AV,1,YNM10FMT,IIP_A_AssistedVent V10
2.3,46,IPA_BVM,1,YNM10FMT,IIP_A_BagValveMask V10
2.3,47,IPA_CPAP,1,YNM10FMT,IIP_A_MaskandorNCPAP V10
2.3,48,IPA_MTB,1,YNM10FMT,IIP_A_Mouth2Barrier V10
2.3,49,IPA_MTM,1,YNM10FMT,IIP_A_Mouth2Mouth V10
2.3,50,IPA_LMA,1,YNM10FMT,IIP_A_LaryngealMaskAirway V10
2.3,51,IPA_VOTH,1,YNM10FMT,IIP_A_NonInvVentOther V10
2.3,52,IPA_MV,1,YNM10FMT,IIP_A_MechanicalVent V10
